case_id,cluster,duration_days,outcome,loan_goal,app_type,requested_amount
Application_1003184938,1,10.775282569444444,Pending,Car,New credit,6000.0
Application_1003213123,0,8.939368958333333,Denied,Home improvement,New credit,40000.0
Application_1003239424,2,33.76708103009259,Cancelled,"Other, see explanation",New credit,15000.0
Application_1003257895,0,48.09099579861111,Denied,Unknown,New credit,0.0
Application_1003264681,1,16.946797002314813,Pending,Home improvement,Limit raise,20000.0
Application_1003291296,2,32.42550571759259,Cancelled,Car,New credit,5000.0
Application_1003335792,2,32.393726388888886,Cancelled,Car,New credit,50000.0
Application_1003444518,1,57.998339907407406,Cancelled,Existing loan takeover,New credit,20000.0
Application_1003445359,1,12.599883472222222,Pending,Existing loan takeover,New credit,15000.0
Application_1003568418,2,33.42003710648148,Cancelled,Existing loan takeover,New credit,20000.0
Application_1003575962,2,34.430053668981486,Cancelled,Existing loan takeover,New credit,42000.0
Application_1003594594,2,31.669405659722223,Cancelled,Home improvement,New credit,20000.0
Application_1003634925,1,30.06140824074074,Pending,Car,Limit raise,15000.0
Application_1003639640,1,8.059916284722222,Pending,Home improvement,Limit raise,40000.0
Application_1003879772,1,75.56829729166667,Pending,Extra spending limit,New credit,20000.0
Application_1003896153,0,8.238740555555555,Denied,Car,New credit,20000.0
Application_1003963311,1,12.87226150462963,Pending,Unknown,New credit,0.0
Application_1004293292,1,10.740438761574074,Pending,Car,New credit,14000.0
Application_1004303396,1,25.008717881944445,Pending,Home improvement,New credit,15000.0
Application_1004317586,0,8.68221400462963,Denied,Car,New credit,10000.0
Application_100433898,1,6.896249201388889,Pending,Car,New credit,15700.0
Application_1004385970,1,10.166706620370372,Pending,Car,New credit,10000.0
Application_1004515382,1,6.2258940162037035,Pending,Car,Limit raise,15000.0
Application_1004573204,2,30.581586331018517,Cancelled,Car,Limit raise,26000.0
Application_1004581995,2,32.622416793981486,Cancelled,Car,New credit,5000.0
Application_1004601801,1,9.650914814814815,Pending,Car,New credit,13500.0
Application_1004618053,1,27.118088171296296,Pending,Home improvement,Limit raise,0.0
Application_1004667877,1,30.253612870370368,Pending,"Other, see explanation",New credit,5000.0
Application_1004702768,1,7.610384074074074,Pending,Home improvement,New credit,5000.0
Application_1004718670,1,22.20082494212963,Pending,"Other, see explanation",Limit raise,15000.0
Application_1004752022,2,31.64606806712963,Cancelled,Car,New credit,25000.0
Application_1004788187,2,34.74936951388889,Cancelled,Car,New credit,20000.0
Application_1004817800,2,30.95864646990741,Cancelled,Home improvement,New credit,15000.0
Application_1004853526,1,5.907412303240741,Pending,Home improvement,New credit,15000.0
Application_1004943461,1,9.077287905092593,Pending,Unknown,Limit raise,9000.0
Application_1004972579,1,11.841108414351853,Pending,Car,New credit,5000.0
Application_1005003910,1,4.043939861111111,Pending,"Other, see explanation",Limit raise,6000.0
Application_1005037911,2,31.41817069444444,Cancelled,Home improvement,New credit,15000.0
Application_1005228320,1,35.84619131944444,Pending,Home improvement,New credit,20000.0
Application_1005342157,1,14.99680144675926,Pending,Existing loan takeover,New credit,17000.0
Application_1005395271,2,31.292040266203706,Cancelled,Home improvement,New credit,6000.0
Application_1005465952,1,8.809415775462963,Pending,Home improvement,New credit,42000.0
Application_1005568510,1,40.67253789351852,Cancelled,Existing loan takeover,New credit,16250.0
Application_1005586643,1,7.001779525462964,Pending,Unknown,Limit raise,10000.0
Application_1005604553,1,13.016735833333334,Pending,Car,New credit,6000.0
Application_1005677212,1,18.622122800925926,Pending,Existing loan takeover,New credit,25000.0
Application_1005734659,1,21.633650115740743,Pending,Extra spending limit,New credit,5000.0
Application_1005851562,1,11.499378217592593,Pending,Existing loan takeover,New credit,5000.0
Application_1005878170,1,19.06310238425926,Pending,Existing loan takeover,New credit,45000.0
Application_100589233,0,16.89035486111111,Denied,Existing loan takeover,New credit,19000.0
Application_1006019928,1,12.823767083333333,Pending,Existing loan takeover,New credit,15000.0
Application_1006058240,0,19.761397511574074,Denied,Car,New credit,5000.0
Application_1006138809,1,16.693714618055555,Pending,Existing loan takeover,New credit,20000.0
Application_1006164631,0,26.899799085648148,Denied,Car,New credit,5000.0
Application_1006214165,1,25.955804120370367,Pending,"Other, see explanation",New credit,34500.0
Application_1006347888,2,31.447549814814813,Cancelled,Car,New credit,5000.0
Application_1006372947,1,15.056361759259259,Pending,Home improvement,New credit,11000.0
Application_1006457880,1,13.86513773148148,Pending,Existing loan takeover,New credit,27000.0
Application_1006458332,1,27.622541805555556,Pending,Home improvement,New credit,10000.0
Application_1006489560,1,12.015133784722222,Pending,Home improvement,New credit,28000.0
Application_1006959642,1,6.832785949074074,Pending,Car,New credit,5000.0
Application_1006996577,2,31.444410416666667,Cancelled,Car,New credit,10000.0
Application_1007147744,2,32.5065228125,Cancelled,Car,New credit,20000.0
Application_1007255451,2,31.824502048611112,Cancelled,Car,New credit,7000.0
Application_1007290684,1,51.95694737268518,Pending,Not speficied,New credit,25000.0
Application_1007340039,1,9.678596087962964,Pending,Existing loan takeover,New credit,38000.0
Application_1007423229,0,12.800505729166668,Denied,Car,New credit,22000.0
Application_1007501706,2,31.713590706018522,Cancelled,Existing loan takeover,New credit,45000.0
Application_1007507108,1,30.171622337962962,Pending,Home improvement,New credit,30000.0
Application_1007516030,1,13.765223090277777,Pending,Car,New credit,6700.0
Application_1007530778,1,32.00193394675926,Pending,Home improvement,New credit,5000.0
Application_1007601292,0,36.85932869212963,Denied,Home improvement,New credit,25000.0
Application_1007607428,2,31.62111247685185,Cancelled,"Other, see explanation",New credit,5000.0
Application_1007766945,1,22.346563217592593,Pending,Home improvement,Limit raise,31000.0
Application_1007846031,0,18.03357627314815,Denied,Existing loan takeover,New credit,7500.0
Application_1007929195,1,13.117539953703703,Pending,Unknown,New credit,0.0
Application_1008012118,2,32.70087762731482,Cancelled,Existing loan takeover,Limit raise,12500.0
Application_1008205514,1,9.87845474537037,Pending,Existing loan takeover,New credit,6100.0
Application_100833857,1,14.871192534722221,Pending,Home improvement,New credit,38300.0
Application_1008474739,1,24.608045636574076,Cancelled,Car,New credit,7000.0
Application_1008477029,1,18.54479116898148,Pending,Existing loan takeover,New credit,20000.0
Application_1008513010,1,12.192116354166666,Pending,Home improvement,New credit,5000.0
Application_100853745,0,20.95336707175926,Denied,Car,New credit,10000.0
Application_1008548242,1,30.86510702546296,Pending,Home improvement,New credit,15000.0
Application_1008663678,0,35.49726634259259,Denied,Home improvement,New credit,5000.0
Application_1008776960,1,14.54127429398148,Pending,Car,New credit,12000.0
Application_1008803681,0,19.77723810185185,Denied,Car,New credit,7000.0
Application_1008820487,1,37.71668085648148,Cancelled,Car,New credit,22500.0
Application_1008848932,2,6.757483923611112,Cancelled,Car,New credit,25000.0
Application_100886157,1,23.91930798611111,Pending,"Other, see explanation",New credit,30000.0
Application_1008885658,1,10.53373685185185,Pending,Remaining debt home,New credit,12000.0
Application_1008893228,1,7.756238171296296,Pending,Home improvement,New credit,24000.0
Application_1008926043,0,12.265466493055555,Denied,Unknown,New credit,0.0
Application_100896625,2,8.244936331018518,Cancelled,Not speficied,New credit,15000.0
Application_1008980114,1,36.55639568287037,Pending,Existing loan takeover,New credit,49000.0
Application_1009117608,1,7.604863831018518,Pending,Car,New credit,12900.0
Application_1009170679,1,29.757464085648145,Pending,Home improvement,New credit,8500.0
Application_1009201632,2,32.573286180555556,Cancelled,Car,New credit,5000.0
Application_1009220910,1,12.051535405092592,Pending,Home improvement,Limit raise,0.0
Application_100930614,2,32.4687074537037,Cancelled,Extra spending limit,New credit,5000.0
Application_1009327734,1,40.48372290509259,Pending,Car,New credit,14000.0
Application_1009342776,1,12.702112569444445,Pending,Unknown,New credit,0.0
Application_1009359277,0,6.0960799189814825,Denied,Car,New credit,15000.0
Application_100942591,1,14.922959120370372,Pending,Car,New credit,15000.0
Application_1009442649,1,25.71188664351852,Pending,Existing loan takeover,New credit,20000.0
Application_1009443818,1,87.89921472222223,Cancelled,Caravan / Camper,Limit raise,13000.0
Application_1009466765,2,31.85159127314815,Cancelled,Car,New credit,10000.0
Application_1009604939,0,25.993848784722225,Denied,Motorcycle,New credit,10400.0
Application_1009728487,0,20.831889525462962,Denied,Boat,New credit,75000.0
Application_1009741271,2,31.522348530092593,Cancelled,Home improvement,New credit,5000.0
Application_1009792822,1,11.012628819444444,Pending,Car,Limit raise,20000.0
Application_1009850069,1,12.97484173611111,Pending,Existing loan takeover,New credit,20000.0
Application_1009860656,1,8.934493182870371,Pending,Unknown,Limit raise,25000.0
Application_1009921342,2,33.87083925925926,Cancelled,Home improvement,New credit,18368.0
Application_1009927186,1,19.29214340277778,Pending,Car,New credit,15000.0
Application_1009956698,1,19.23282445601852,Pending,Existing loan takeover,New credit,17256.0
Application_1010016709,1,11.61934216435185,Pending,Car,New credit,18000.0
Application_1010084086,2,0.7910804976851852,Cancelled,Existing loan takeover,New credit,5000.0
Application_101013624,1,23.682233356481483,Pending,"Other, see explanation",New credit,8000.0
Application_1010146666,1,0.18945576388888888,Cancelled,Unknown,New credit,0.0
Application_101015826,1,14.853652638888889,Pending,Home improvement,New credit,19000.0
Application_1010273024,1,21.74881701388889,Pending,Home improvement,Limit raise,26000.0
Application_1010284825,1,8.738036909722222,Pending,Car,New credit,16000.0
Application_1010390571,0,7.938637685185185,Denied,Car,New credit,5000.0
Application_1010573951,1,6.055207372685185,Pending,Unknown,New credit,0.0
Application_1010578897,1,12.989351689814816,Pending,Existing loan takeover,New credit,5000.0
Application_1010579931,1,8.041176400462962,Pending,"Other, see explanation",New credit,5000.0
Application_1010651948,1,26.51787105324074,Pending,Car,New credit,18000.0
Application_1010657155,1,14.634133680555555,Pending,Existing loan takeover,New credit,9000.0
Application_101073762,1,21.973940902777777,Pending,Existing loan takeover,New credit,14250.0
Application_1010778247,1,24.88487199074074,Pending,"Other, see explanation",Limit raise,35000.0
Application_1010825982,1,17.03427559027778,Pending,"Other, see explanation",Limit raise,75000.0
Application_101092690,1,16.892326354166666,Pending,Existing loan takeover,New credit,35000.0
Application_1011007304,1,25.97993751157407,Pending,Unknown,Limit raise,0.0
Application_1011122543,0,24.808421168981482,Denied,Caravan / Camper,New credit,5000.0
Application_1011124726,1,4.045282488425926,Pending,Unknown,New credit,0.0
Application_1011166304,1,6.960658414351852,Pending,Home improvement,New credit,5000.0
Application_1011256754,2,30.93275280092593,Cancelled,Car,New credit,5000.0
Application_1011449253,1,7.0747945138888895,Pending,"Other, see explanation",New credit,21800.0
Application_1011514458,2,30.916776435185188,Cancelled,Existing loan takeover,New credit,10000.0
Application_1011657063,0,13.401912025462963,Denied,Existing loan takeover,New credit,30000.0
Application_1011711759,1,32.823266886574075,Pending,Remaining debt home,New credit,33500.0
Application_1011743105,1,12.304772314814814,Cancelled,Home improvement,New credit,27000.0
Application_1011752493,1,17.656649699074073,Pending,"Other, see explanation",New credit,25000.0
Application_1011891800,1,15.182589097222223,Pending,"Other, see explanation",New credit,22500.0
Application_1011933027,2,31.724785185185183,Cancelled,Not speficied,New credit,5000.0
Application_1012033620,2,5.413129351851851,Cancelled,Existing loan takeover,New credit,19000.0
Application_1012036369,1,23.913064247685185,Pending,"Other, see explanation",Limit raise,26000.0
Application_1012242407,2,31.47883009259259,Cancelled,Car,New credit,5000.0
Application_1012362506,1,20.770669537037037,Pending,Home improvement,New credit,25000.0
Application_1012472852,2,36.89760438657407,Cancelled,Car,New credit,6000.0
Application_1012566167,1,40.01350023148148,Pending,Car,New credit,7250.0
Application_1012600292,1,36.75757988425926,Pending,Existing loan takeover,New credit,19500.0
Application_1012691702,0,25.961553148148145,Denied,Existing loan takeover,New credit,35000.0
Application_1012695759,0,0.005804409722222222,Denied,Car,New credit,10000.0
Application_1012709826,1,20.105730555555557,Pending,Existing loan takeover,Limit raise,33500.0
Application_1012714056,1,17.702701469907407,Pending,Car,New credit,25700.0
Application_1012727008,1,9.960155833333333,Pending,Car,New credit,8000.0
Application_101281963,1,9.065687256944443,Pending,Home improvement,Limit raise,37500.0
Application_101285063,2,32.69198818287037,Cancelled,Car,New credit,10250.0
Application_1012862839,0,7.974005335648148,Denied,"Other, see explanation",New credit,5000.0
Application_1012880100,1,10.65098275462963,Pending,Car,New credit,25000.0
Application_1013192848,1,27.5999015625,Pending,Existing loan takeover,New credit,5000.0
Application_1013194708,1,15.087578842592592,Pending,Existing loan takeover,New credit,20000.0
Application_1013244911,1,36.99041648148148,Pending,Home improvement,New credit,25000.0
Application_1013496029,2,31.385861435185184,Cancelled,Existing loan takeover,New credit,6500.0
Application_1013542133,1,25.94137849537037,Pending,Home improvement,Limit raise,0.0
Application_1013582921,0,12.971675462962963,Denied,"Other, see explanation",New credit,25000.0
Application_1013759462,1,10.921708437500001,Pending,Car,New credit,7000.0
Application_1013989329,2,31.57261972222222,Cancelled,Car,New credit,5600.0
Application_1013997167,2,33.75277621527778,Cancelled,Car,New credit,10000.0
Application_1014199128,1,32.060199733796296,Pending,Car,Limit raise,50000.0
Application_10142236,2,31.021405324074074,Cancelled,Existing loan takeover,New credit,35000.0
Application_1014252876,2,39.75105894675926,Cancelled,Home improvement,New credit,15000.0
Application_1014284368,2,33.873522766203706,Cancelled,Car,New credit,13000.0
Application_1014301064,0,14.771695983796297,Denied,Unknown,New credit,0.0
Application_1014473740,2,30.937945682870374,Cancelled,Home improvement,New credit,20000.0
Application_1014628070,2,32.485918078703705,Cancelled,"Other, see explanation",New credit,25000.0
Application_1014738976,0,12.455894710648149,Denied,Car,New credit,5000.0
Application_1014760259,0,17.911791932870372,Denied,Existing loan takeover,New credit,5300.0
Application_1014798002,0,14.84013048611111,Denied,Home improvement,New credit,15000.0
Application_1014808270,1,17.192292986111113,Pending,Car,New credit,17000.0
Application_1014824736,1,2.1588983796296297,Pending,Extra spending limit,Limit raise,10000.0
Application_1014917757,2,30.88604011574074,Cancelled,"Other, see explanation",New credit,75000.0
Application_1014987100,1,10.917188784722223,Pending,Car,New credit,5000.0
Application_1015071619,1,17.868062395833334,Pending,Home improvement,New credit,15000.0
Application_1015084008,1,8.736629108796297,Pending,"Other, see explanation",New credit,15000.0
Application_1015183847,1,3.0936328587962967,Pending,Not speficied,New credit,15000.0
Application_1015245209,1,12.223152858796295,Pending,Existing loan takeover,New credit,17100.0
Application_1015296509,1,42.42280391203703,Pending,Home improvement,New credit,60000.0
Application_1015311658,1,23.693808194444443,Pending,Car,New credit,5000.0
Application_1015323110,1,22.619008368055557,Cancelled,Home improvement,New credit,5000.0
Application_1015357327,1,13.536320717592593,Pending,Car,New credit,8000.0
Application_1015358885,1,13.817127395833333,Pending,Unknown,New credit,0.0
Application_101540725,1,30.510081006944443,Pending,Car,New credit,5000.0
Application_1015413412,2,30.787126145833334,Cancelled,Not speficied,New credit,17500.0
Application_1015478096,2,31.900026238425927,Cancelled,Car,Limit raise,12500.0
Application_101548356,1,37.255498402777775,Cancelled,Remaining debt home,New credit,29800.0
Application_1015522224,2,0.5179015972222222,Cancelled,Car,New credit,17000.0
Application_1015528427,1,12.954699178240741,Pending,Home improvement,Limit raise,17000.0
Application_1015546073,1,18.468111458333333,Pending,Home improvement,New credit,5000.0
Application_1015602490,1,62.957877662037035,Pending,Existing loan takeover,New credit,12000.0
Application_1015666669,2,31.578144131944445,Cancelled,Car,New credit,5000.0
Application_1015673643,1,9.088161493055557,Pending,Remaining debt home,New credit,10000.0
Application_1015777884,0,8.079674166666667,Denied,Unknown,New credit,0.0
Application_1015829712,2,31.42574390046296,Cancelled,Motorcycle,New credit,7500.0
Application_1015843971,2,31.468800439814814,Cancelled,Home improvement,New credit,15000.0
Application_1015944019,1,18.894776122685183,Pending,Home improvement,New credit,30000.0
Application_101604435,1,28.074526249999998,Pending,Existing loan takeover,New credit,10000.0
Application_1016139280,2,32.140830960648145,Cancelled,Not speficied,New credit,28750.0
Application_1016282069,1,36.027992627314816,Pending,Unknown,New credit,0.0
Application_1016339725,0,11.713304907407407,Denied,Existing loan takeover,New credit,15000.0
Application_101639139,1,13.639447662037036,Pending,Home improvement,New credit,47500.0
Application_1016451751,1,57.705193831018526,Pending,"Other, see explanation",New credit,30000.0
Application_1016463575,1,19.17445125,Pending,Home improvement,New credit,15000.0
Application_1016541821,0,18.030626458333334,Denied,Unknown,New credit,0.0
Application_1016632627,1,14.113887048611112,Pending,Not speficied,Limit raise,50000.0
Application_1016735,1,10.9700003125,Cancelled,Remaining debt home,New credit,22500.0
Application_1016778548,1,9.940128171296296,Pending,Car,New credit,7000.0
Application_1016792765,2,30.931917696759257,Cancelled,Existing loan takeover,New credit,15300.0
Application_1016809148,2,31.441906342592592,Cancelled,"Other, see explanation",New credit,57500.0
Application_1016816804,1,17.818159641203703,Pending,"Other, see explanation",New credit,5000.0
Application_1016977130,1,32.15904655092593,Pending,Home improvement,New credit,15000.0
Application_1017028247,1,0.03675383101851852,Pending,Car,Limit raise,20000.0
Application_1017053119,1,9.271757465277778,Pending,Unknown,New credit,0.0
Application_1017054863,1,6.97436494212963,Pending,Home improvement,New credit,25000.0
Application_1017064738,1,13.59218451388889,Pending,Home improvement,New credit,10000.0
Application_1017105040,2,4.762754027777778,Cancelled,Car,New credit,14500.0
Application_1017122987,2,31.488429108796296,Cancelled,Existing loan takeover,New credit,5000.0
Application_1017220956,1,23.86605900462963,Pending,Home improvement,New credit,20000.0
Application_101731242,1,16.666222523148146,Pending,Existing loan takeover,New credit,15000.0
Application_1017437265,2,30.709282754629626,Cancelled,Unknown,New credit,0.0
Application_1017445442,2,32.24127884259259,Cancelled,"Other, see explanation",New credit,30000.0
Application_1017492916,2,31.48731255787037,Cancelled,Car,New credit,15000.0
Application_1017548876,1,9.713250763888889,Pending,Unknown,Limit raise,11000.0
Application_1017578132,1,5.001458831018518,Pending,Unknown,Limit raise,0.0
Application_1017620318,1,21.796614930555556,Pending,"Other, see explanation",New credit,11000.0
Application_1017623303,1,17.47589334490741,Pending,Car,New credit,15000.0
Application_1017644369,2,16.104248993055553,Cancelled,Home improvement,New credit,10000.0
Application_1017661250,1,46.49997988425926,Pending,Home improvement,New credit,20000.0
Application_1017685010,1,24.529165717592594,Pending,Car,New credit,15000.0
Application_1017777344,1,13.619360694444444,Pending,Existing loan takeover,New credit,15000.0
Application_1017828639,1,7.036743194444444,Pending,"Other, see explanation",New credit,25000.0
Application_1017917646,2,30.914168738425925,Cancelled,Unknown,New credit,0.0
Application_1017927606,2,32.65749023148148,Cancelled,Car,New credit,5000.0
Application_1018089402,0,13.719371631944444,Denied,Home improvement,New credit,15000.0
Application_1018249155,0,7.902850763888889,Denied,"Other, see explanation",New credit,5000.0
Application_1018266027,0,13.152498912037036,Denied,"Other, see explanation",Limit raise,7000.0
Application_1018276550,2,30.709141064814816,Cancelled,Home improvement,New credit,20000.0
Application_1018407971,1,17.885300590277776,Pending,Home improvement,New credit,25000.0
Application_1018538193,1,6.059394074074074,Pending,Existing loan takeover,New credit,70000.0
Application_1018583202,2,30.63552802083333,Cancelled,Car,New credit,9000.0
Application_1018615109,1,20.415310787037036,Pending,Home improvement,New credit,17000.0
Application_1018658664,0,13.049290543981481,Denied,Home improvement,New credit,30000.0
Application_1018770495,1,7.997807303240741,Pending,Car,New credit,20000.0
Application_101881919,1,7.764989282407408,Pending,Existing loan takeover,New credit,25000.0
Application_1019051515,1,22.799423506944446,Pending,Home improvement,New credit,30000.0
Application_1019084704,2,39.00335204861111,Cancelled,Car,New credit,11000.0
Application_1019266700,1,18.983145497685186,Pending,Existing loan takeover,New credit,45000.0
Application_1019277788,2,30.639511458333335,Cancelled,Existing loan takeover,New credit,15000.0
Application_1019299562,1,17.007101851851854,Pending,Caravan / Camper,New credit,15000.0
Application_1019357279,2,32.46625061342593,Cancelled,Extra spending limit,New credit,7000.0
Application_1019452946,2,13.012972858796296,Cancelled,Business goal,New credit,13000.0
Application_1019469082,2,31.66452638888889,Cancelled,Car,New credit,20000.0
Application_1019603677,1,9.62358548611111,Pending,Car,New credit,18300.0
Application_1019687793,0,11.032702048611112,Denied,Car,New credit,0.0
Application_1019714896,1,17.819768819444445,Cancelled,Car,New credit,5000.0
Application_101973919,1,62.763958715277774,Pending,Remaining debt home,New credit,42000.0
Application_1019756607,1,22.683084074074074,Pending,"Other, see explanation",Limit raise,25000.0
Application_1019781911,1,14.123174375000001,Pending,Existing loan takeover,Limit raise,50000.0
Application_1019849833,0,9.839768506944443,Denied,Car,New credit,10000.0
Application_1020019812,2,31.466518136574074,Cancelled,Car,New credit,15000.0
Application_1020036346,2,36.7374225,Cancelled,"Other, see explanation",New credit,10000.0
Application_1020070367,2,31.847278402777775,Cancelled,Car,New credit,12500.0
Application_102018713,0,4.790795902777778,Denied,Car,New credit,12500.0
Application_1020232709,1,12.946036770833334,Pending,Existing loan takeover,New credit,10000.0
Application_1020381296,1,28.161118020833335,Pending,Existing loan takeover,New credit,25000.0
Application_1020410553,0,22.921044259259258,Denied,Existing loan takeover,New credit,21000.0
Application_102041449,2,5.559519872685185,Cancelled,Home improvement,New credit,15000.0
Application_1020606169,1,18.389383645833334,Pending,Remaining debt home,New credit,15000.0
Application_1020696982,1,13.494618831018519,Pending,Not speficied,New credit,11000.0
Application_1020735316,0,17.903904733796296,Denied,Home improvement,New credit,5000.0
Application_1020750988,1,10.73347863425926,Pending,Car,New credit,8500.0
Application_1020792873,1,28.01436846064815,Pending,Existing loan takeover,New credit,10000.0
Application_1020808066,1,12.922565266203703,Pending,Home improvement,Limit raise,50000.0
Application_1020819842,1,18.033124780092592,Pending,Existing loan takeover,New credit,66600.0
Application_1020826018,2,31.35746050925926,Cancelled,Existing loan takeover,New credit,5000.0
Application_1020830584,0,43.28772189814815,Denied,Existing loan takeover,New credit,49500.0
Application_1020832049,1,13.803216608796296,Pending,Home improvement,New credit,15000.0
Application_1020990376,1,7.450109351851852,Pending,Home improvement,New credit,5000.0
Application_1021332815,2,1.241372152777778,Denied,Home improvement,New credit,30000.0
Application_1021352275,2,31.516535740740743,Cancelled,Car,New credit,5000.0
Application_1021365915,1,8.742566435185186,Pending,Car,New credit,0.0
Application_1021431020,2,31.439738275462965,Cancelled,Car,New credit,6500.0
Application_1021582856,0,15.120969861111112,Denied,Existing loan takeover,New credit,15100.0
Application_1021585422,1,34.50565099537037,Pending,Not speficied,New credit,15000.0
Application_1021612767,0,38.60373334490741,Denied,Home improvement,New credit,15000.0
Application_102167608,1,13.90197462962963,Pending,Unknown,New credit,0.0
Application_1021748617,0,13.926168564814814,Denied,Car,New credit,30000.0
Application_1021758905,1,8.974948518518518,Pending,Existing loan takeover,New credit,20000.0
Application_1021913039,0,9.691352673611112,Denied,Car,New credit,26315.0
Application_102200568,1,13.989805717592592,Pending,Existing loan takeover,New credit,5000.0
Application_1022053539,1,18.68918349537037,Pending,Existing loan takeover,New credit,18500.0
Application_1022069965,0,22.789380659722223,Denied,Home improvement,New credit,10000.0
Application_1022084723,0,13.788096666666666,Denied,Home improvement,New credit,13000.0
Application_102217911,2,30.57153840277778,Cancelled,Car,New credit,10750.0
Application_1022411160,1,18.707176435185186,Pending,Remaining debt home,New credit,6000.0
Application_1022414754,1,21.036084733796294,Pending,Home improvement,Limit raise,75000.0
Application_102241622,1,44.60636576388889,Pending,Existing loan takeover,New credit,5000.0
Application_1022503261,2,32.75087251157407,Cancelled,Existing loan takeover,New credit,45000.0
Application_1022532415,1,13.00128502314815,Pending,"Other, see explanation",New credit,27000.0
Application_1022584147,2,30.715081747685186,Cancelled,Existing loan takeover,New credit,10500.0
Application_1022593746,1,10.838167118055555,Pending,Car,New credit,7500.0
Application_1022619955,1,13.210712488425925,Pending,Car,New credit,10000.0
Application_10226694,1,31.605021469907406,Pending,Remaining debt home,New credit,20000.0
Application_1022701559,1,13.287749178240741,Pending,Car,Limit raise,30000.0
Application_1022726417,1,17.805590324074075,Pending,Existing loan takeover,New credit,10000.0
Application_102284220,1,10.872469699074074,Pending,Extra spending limit,New credit,12000.0
Application_1023037940,0,22.787322395833332,Denied,Boat,New credit,10000.0
Application_1023172078,1,1.877222627314815,Pending,Car,Limit raise,17500.0
Application_102322853,1,16.726293368055554,Pending,Home improvement,New credit,7500.0
Application_1023366085,0,11.642984085648148,Denied,Home improvement,New credit,30000.0
Application_102338755,1,13.975992442129629,Pending,Existing loan takeover,New credit,17500.0
